lat,lng,alt,snr
-34.0526,18.6598,3464.2,29.5
-34.0527,18.66,3467.6,29.5
-34.0528,18.6601,3470.7,29.9
-34.0528,18.6602,3474,29.9
-34.0529,18.6604,3477.6,29.2
-34.053,18.6605,3481.2,29.2
-34.0531,18.6607,3488.2,30
-34.0532,18.6608,3491.8,31.2
-34.0533,18.661,3495.2,31.2
-34.0534,18.6611,3498.6,30.7
-34.0535,18.6612,3501.9,31.5
-34.0535,18.6614,3505.3,31.5
-34.0536,18.6615,3508.9,31.2
-34.0537,18.6616,3512.4,31.1
-34.0538,18.6618,3515.8,30.2
-34.0538,18.6619,3519.4,30.2
-34.0539,18.6621,3522.6,30.2
-34.054,18.6622,3525.9,30.9
-34.0541,18.6623,3529.3,30.9
-34.0542,18.6625,3532.8,30.1
-34.0542,18.6626,3536.4,30.1
-34.0543,18.6627,3539.9,29.9
-34.0544,18.6629,3544,29.9
-34.0545,18.663,3548.4,28.3
-34.0546,18.6632,3552.5,26.3
-34.0546,18.6633,3555.9,28.2
-34.0547,18.6634,3559.9,28.2
-34.0548,18.6636,3564.5,29.9
-34.0549,18.6637,3569.6,29.9
-34.055,18.6638,3573.9,27.9
-34.0551,18.664,3577.2,27.9
-34.0552,18.6642,3581,25
-34.0553,18.6643,3584.7,25.6
-34.0554,18.6645,3588.4,25.9
-34.0555,18.6646,3592.3,26.4
-34.0555,18.6647,3595.9,26.4
-34.0556,18.6649,3599.1,25.5
-34.0558,18.6652,3606.8,27.4
-34.058,18.6693,3714.6,32.3
-34.0581,18.6695,3719.3,32.3
-34.0583,18.6698,3729.3,32.7
-34.0585,18.67,3734.6,32.7
-34.0586,18.6702,3739.7,30.9
-34.0588,18.6706,3746.5,31.5
-34.0589,18.6708,3750.6,30.4
-34.0591,18.6712,3758.3,31.3
-34.0592,18.6714,3761.9,28.9
-34.0593,18.6716,3765.1,28.9
-34.0595,18.6719,3773.5,23.3
-34.0596,18.672,3777.3,29.8
-34.0598,18.6724,3784.9,26.1
-34.0599,18.6726,3788.1,27.2
-34.0601,18.6728,3791.7,27.2
-34.0602,18.673,3795.8,24.9
-34.0603,18.6732,3799.8,26.6
-34.0604,18.6733,3804.8,26.7
-34.0605,18.6735,3809.3,26.7
-34.0606,18.6737,3813.4,27.2
-34.0607,18.6739,3817.6,27.2
-34.0609,18.674,3821.6,27.7
-34.061,18.6742,3825.8,27.7
-34.0611,18.6744,3830.5,27.7
-34.0612,18.6746,3835.6,27
-34.0614,18.6747,3840,26.9
-34.0615,18.6749,3844.7,26.6
-34.0616,18.6751,3849.1,25.4
-34.0617,18.6753,3853.9,24.5
-34.0618,18.6754,3858.4,24.5
-34.062,18.6756,3862.3,24
-34.0621,18.6758,3866.9,21.9
-34.0622,18.676,3871.9,24.3
-34.0623,18.6762,3877.3,24.3
-34.0624,18.6763,3883.4,25.9
-34.0626,18.6765,3889.6,25.9
-34.0627,18.6766,3896.1,23
-34.0628,18.6768,3903,24.3
-34.063,18.677,3908.9,25.5
-34.0631,18.6771,3914.1,25.5
-34.0634,18.6775,3925.8,24.1
